OBJECTID,ACRES,ZPREFIX,ZCASE,ZREVISION,ZYEAR,SPPREFIX,SPCASE,SPREVISION,SPYEAR,ZONING,REDEFINE1,DATE_APPRO,LABEL1,ORD_NUM,HISTORIC,GEN_ZONE,INSERT_DATE,UPDATE_DATE,ANID,TOD
1409671,0.37554672,Z, , , , , , , ,P-1, , ,P-1, , ,Commercial,2023/04/17 20:31:07+00,2024/05/07 23:34:44+00,72078, 
1409672,1.5972012,Z, , , , , , , ,P-1, , ,P-1, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72079, 
1409673,25.53625723,Z,55, ,95, , , , ,R1-18,Z-55-95, ,R1-18 PRD*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72080, 
1409674,0.21021868,Z, , , ,SP,22, ,88,A-2,Z-SP-22-88, ,A-2 SP, , ,Industrial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72081, 
1409675,42.82712253,Z,79, ,98, , , , ,R1-6,Z-79-98, ,R1-6 HP, ,HP,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72082, 
1409676,20.05871301,Z,306, ,80, , , , ,PSC,Z-306-80, ,PSC*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72083, 
1409677,4.84108293,Z, , , , , , , ,C-1, , ,C-1, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72084, 
1409678,8.76396092,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72085, 
1409679,561.12184397, , , , , , , , ,RE-35, , ,RE-35, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,71880, 
1409680,27.29441186,Z,26, ,00, , , , ,R1-8,Z-26-00, ,R1-8 PRD, , ,SF Residential,2023/04/17 20:31:07+00,2024/10/22 16:45:12+00,71881, 
