OBJECTID,ACRES,ZPREFIX,ZCASE,ZREVISION,ZYEAR,SPPREFIX,SPCASE,SPREVISION,SPYEAR,ZONING,REDEFINE1,DATE_APPRO,LABEL1,ORD_NUM,HISTORIC,GEN_ZONE,INSERT_DATE,UPDATE_DATE,ANID,TOD
1409909,3.51806279,Z,52, ,00, , , , ,S-1,Z-52-00, ,S-1, , ,SF Residential,2023/04/17 20:31:08+00,2023/04/17 20:31:08+00,72808, 
1409910,40.50901192,Z,13, ,19, , , , ,WU,Z-13-19,6/5/2019,WU Code T6:HWR MT*,G-6594, ,Commercial,2023/04/17 20:31:08+00,2023/07/27 23:16:48+00,72809,MT
1409911,1.16461056,Z,7, ,10, , , , ,C-2,Z-7-10, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72278, 
1409912,5.14646656,Z, , , , , , , ,R-3, , ,R-3, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72279, 
1409913,1.37159006,Z,157, ,80, , , , ,PAD-10,Z-157-80, ,PAD-10*, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72280, 
1409914,0.97439656,Z, , , , , , , ,R-4, , ,R-4, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72281, 
1409915,5.06996514,Z, , , , , , , ,R-3, , ,R-3, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72282, 
1409916,3.08940347,Z, , , , , , , ,C-3, , ,C-3, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72283, 
1409917,0.60075793,Z,22, ,91, , , , ,P-1,Z-22-91, ,P-1*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72284, 
1409918,2.4534554,Z,78,A,88, , ,A, ,C-2,Z-78-A-88, ,C-2 PCD*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72285, 
1409919,43.13075662,Z,160, ,02, , , , ,R1-8,Z-160-02,04-02-2003,R1-8 PRD*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72286, 
1409920,0.76828407,Z, , , , , , , ,C-O, , ,C-O, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72287, 
1409921,0.76495647,Z,124, ,02, , , , ,R-3,Z-124-02,03-05-2003,R-3 HP, ,HP,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72288, 
1409922,0.45832288,Z,58, ,93, , , , ,R-O,Z-58-93, ,R-O*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72422, 
1409923,0.25642461,Z, , , , , , , ,R-4, , ,R-4 HP, ,HP,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72423, 
