GLOBALID,OBJECTID,ZONE_TYPE,ZONE_TYPE_DECODE,HEIGHT,FRONTAGE,FRONTAGE_DECODE,CONDITIONAL,ZONING,ZN_CASE_NUM,ZN_CASE_SUFFIX,ZN_CASE_YEAR,ZONE_CASE,EFF_DATE,ORDINANCE,PLAN,PLAN_NAME,INTO_UDO,COND_LINK,SHAPEAREA,SHAPELEN
{9129C580-7F08-4E34-9056-2C45659FC138},531321,IX-,Industrial Mixed Use,3,-PL,Parking Limited,,IX-3-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,1292063.95407791,5014.18265884969
{915392E0-C95A-4DB4-BF18-F185CDDDCF44},531322,NX-,Neighborhood Mixed Use,3,-GR,Green,,NX-3-GR,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,26409.9586275518,671.303509140646
{916EB004-5CCB-4CB9-A2E9-C98A9B89CDCE},531323,CX-,Commercial Mixed Use,4,-UL,Urban Limited,,CX-4-UL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,390050.795487118,3125.24018601577
{9193F261-67F4-4638-AEB6-51CC43DDE4A1},531324,R-10,Residential-10,,,,,R-10,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,5464.57753212864,1171.97191696421
{919DE80F-EBC8-4976-9299-962F90EE23B9},531325,CX-,Commercial Mixed Use,3,-GR,Green,,CX-3-GR,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,120862.076379126,1517.3632699643
{92695518-5ED8-4800-8093-D3A17FF1D9D8},531326,CM,Conservation Management,,,,,CM,,,,,,,,,"20130901; TC-3-12; 151TC357",,6547.25927167229,733.45093378855
{92B1C1BF-6F00-4609-903B-22184466BA37},531327,CM,Conservation Management,,,,,CM,,,,,,,,,"20130901; TC-3-12; 151TC357",,915876.18949988,6987.11348251519
{92D606C1-F220-43B1-9318-3D695E1AB252},531328,OX-,Office Mixed Use,3,,,-CU,OX-3-CU,33,,2008,Z-33-2008,2008/11/04 05:00:00+00,473ZC627,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-033-08-ORD.pdf,52949.6828225962,973.63151994355
{93119B3E-7C60-4C86-BCA8-FA577877579E},531329,OX-,Office Mixed Use,5,-PL,Parking Limited,,OX-5-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,331265.128394247,2471.24935337996
{9346D262-C736-446F-83F4-B383AB48E27B},531330,OX-,Office Mixed Use,3,-GR,Green,,OX-3-GR,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,135619.162837446,1615.55951529857
{93694658-6738-45C9-862F-FB99B3E42796},531331,R-10,Residential-10,,,,,R-10,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,21815.2676884086,736.22741177236
{936EAF77-8F5B-4657-BA9B-BAFCE2C2B9D3},531332,CM,Conservation Management,,,,,CM,,,,,,,,,"20130901; TC-3-12; 151TC357",,181788.549525094,3312.17474110722
{938E6B26-4380-4122-9D84-ABD325F28167},531333,RX-,Residential Mixed Use,3,,,,RX-3,92,D,2022,Z-92D-2022,2024/07/04 04:00:00+00,637ZC884,,,New Bern SAP,,148440.075265487,1681.77164039133
{93D8E599-D8C7-449F-B827-605C73830757},531334,RX-,Residential Mixed Use,3,,,-CU,RX-3-CU,38,,1995,Z-38-1995,1995/06/20 04:00:00+00,664ZC366,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-038-95-ORD.pdf,30232.5952176192,727.282979735639
{940E231C-22E2-49D7-A64A-9CC12B9A120C},531335,CM,Conservation Management,,,,,CM,33,,1974,Z-33-1974,1974/08/05 04:00:00+00,649ZC148,,,"20130901; TC-3-12; 151TC357",,8193.54989011225,427.748704012664
{9413BABD-3DC5-496E-A01B-F0E31686C580},531336,R-6,Residential-6,,,,,R-6,3,,2012,TC-3-2012,2013/09/01 04:00:00+00,151TC357,,,"20130901; TC-3-12; 151TC357",,12211.9374228437,443.027085991379
{94200F37-2DF5-444D-BE2D-9C36A07135FA},531337,OX-,Office Mixed Use,3,,,,OX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,585090.637447356,4501.09109927906
{947C6588-FC20-44B3-91A6-37141D5B4198},531338,R-10,Residential-10,,,,,R-10,67,,1996,Z-67-1996,1996/09/03 04:00:00+00,951ZC395,,,"20130901; TC-3-12; 151TC357",,100845.879918109,1401.40112061643
{9669618B-B272-4998-B6D2-B1EBEAFDAFA0},531339,CM,Conservation Management,,,,,CM,38,,2005,Z-38-2005,2005/09/06 04:00:00+00,890ZC574,,,"20130901; TC-3-12; 151TC357",,38228.4705863001,1433.83254673012
{96830CBD-8ECC-4D58-92E2-604B0E157965},531340,CM,Conservation Management,,,,,CM,,,,,,,,,"20130901; TC-3-12; 151TC357",,303315.799923902,7847.39329113206
{969B1E89-1843-4A01-AC80-59F0889E4B8B},531341,OX-,Office Mixed Use,3,,,-CU,OX-3-CU,16,,1998,Z-16-1998,1998/06/02 04:00:00+00,339ZC434,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-016-98-ORD.pdf,610979.773225835,3605.53729018207
