OBJECTID,ZONING,ZONE_ORD,PERIMETER,ACRES,ZONE_TYPE,DIS_NAME,ORD_NUMBER,OWNER
49415,RM-2.0-T,199-2024,3401.071,7.934,RM-2.0-T,ROSELAWN,0199-2024,CPE
49416,SF-2-T,199-2024,16193.488,86.195,SF-2-T,SOUTH CUMMINSVILLE,0199-2024,CPE
49417,RM-2.0-T,199-2024,5459.346,12.252,RM-2.0-T,NORTHSIDE,0199-2024,CPE
49418,CC-M-T,199-2024,2024.236,2.734,CC-M-T,WEST PRICE HILL,0199-2024,CPE
49419,CC-A-T,199-2024,2219.212,7.018,CC-A-T,EAST PRICE HILL,0199-2024,CPE
49420,SF-4-T,199-2024,2045.288,5.809,SF-4-T,PADDOCK HILLS,0199-2024,CPE
49421,SF-2-T,199-2024,40973.225,200.964,SF-2-T,MILLVALE,0199-2024,CPE
49422,RM-2.0-T,199-2024,4333.066,10.032,RM-2.0-T,WESTWOOD,0199-2024,CPE
49423,SF-2-T,199-2024,2090.658,4.449,SF-2-T,SOUTH FAIRMOUNT,0199-2024,CPE
49424,RMX-T,199-2024,4940.844,10.721,RMX-T,EAST WALNUT HILLS,0199-2024,CPE
49425,OG-T,199-2024,12123.04,63.682,OG-T,WALNUT HILLS,0199-2024,CPE
49426,RM-2.0-T,199-2024,17686.807,161.213,RM-2.0-T,ENGLISH WOODS,0199-2024,CPE
49427,SF-6-T,199-2024,15636.911,135.897,SF-6-T,MOUNT AIRY,0199-2024,CPE
49428,RMX-T,199-2024,4374.749,9.462,RMX-T,CORRYVILLE,0199-2024,CPE
49429,OG-T,199-2024,27212.279,129.736,OG-T,CORRYVILLE,0199-2024,CPE
49430,RM-0.7-T,199-2024,3905.595,10.307,RM-0.7-T,MOUNT AUBURN,0199-2024,CPE
49431,MG-T,199-2024,4788.257,24.158,MG-T,LOWER PRICE HILL,0199-2024,CPE
49432,MG-T,199-2024,9825.899,68.603,MG-T,ROSELAWN,0199-2024,CPE
49433,RM-2.0-T,199-2024,2452.648,6.79,RM-2.0-T,BOND HILL,0199-2024,CPE
49434,RM-2.0-T,199-2024,2566.761,6.537,RM-2.0-T,COLLEGE HILL,0199-2024,CPE
49435,RM-2.0-T,199-2024,17027.539,105.932,RM-2.0-T,COLLEGE HILL,0199-2024,CPE
49436,SF-4-T,199-2024,15016.246,66.297,SF-4-T,MADISONVILLE,0199-2024,CPE
49437,RM-2.0-T,199-2024,2453.561,3.496,RM-2.0-T,SOUTH CUMMINSVILLE,0199-2024,CPE
49438,OG-T,199-2024,1625.38,3.088,OG-T,MOUNT AUBURN,0199-2024,CPE
49439,RMX-T,199-2024,5376.432,13.082,RMX-T,NORTHSIDE,0199-2024,CPE
49440,RM-0.7-T,199-2024,1287.242,2.13,RM-0.7-T,HYDE PARK,0199-2024,CPE
49441,SF-10-T,199-2024,5879.291,31.917,SF-10-T,NORTH AVONDALE,0199-2024,CPE
49442,RM-2.0-T,199-2024,2222.621,5.084,RM-2.0-T,COLLEGE HILL,0199-2024,CPE
49443,CC-A-T,199-2024,7424.32,28.888,CC-A-T,SOUTH FAIRMOUNT,0199-2024,CPE
