OBJECTID,ZONING,ZONE_ORD,PERIMETER,ACRES,ZONE_TYPE,DIS_NAME,ORD_NUMBER,OWNER
47681,SF-20,15-2004,14324.064,56.125,SF-20,KENNEDY HEIGHTS,0015-2004,CPB
47682,PR,258-2007,2069.14,3.098,PR,MADISONVILLE,0258-2007, 
47683,ML,15-2004,3739.538,11.734,ML,MADISONVILLE,0015-2004,CPB
47684,PR,258-2007,3263.258,5.907,PR,MADISONVILLE,0258-2007, 
47685,SF-6,15-2004,15637.373,78.557,SF-6,MADISONVILLE,0015-2004,CPB
47686,CC-M,15-2004,4404.39,11.941,CC-M,MADISONVILLE,0015-2004,CPB
47687,SF-2,15-2004,14834.037,96.154,SF-2,MADISONVILLE,0015-2004,CPB
47688,PR,258-2007,741.753,0.528,PR,MADISONVILLE,0258-2007, 
47689,T4N.MF-O,1268-2013,4226.394,10.927,T4N.MF-O,MADISONVILLE,01268-2013,CPB
47690,T3N,1268-2013,3700.771,14.469,T3N,MADISONVILLE,01268-2013,CPB
47691,T5MS-O,158-2021,955.124,0.602,T5MS-O,MADISONVILLE,0158-2021,CP
47692,T4N.SF,1268-2013,2087.497,2.802,T4N.SF,MADISONVILLE,1268-2013,CPB
47693,T4N.SF,1268-2013,551.341,0.38,T4N.SF,MADISONVILLE,1268-2013,CPB
47694,SF-6,15-2004,10033.531,62.457,SF-6,KENNEDY HEIGHTS,0015-2004,CPB
47695,CN-M,15-2004,1098.079,1.549,CN-M,KENNEDY HEIGHTS,0015-2004,CPB
47696,SF-6,15-2004,24478.603,244.86,SF-6,KENNEDY HEIGHTS,0015-2004,CPB
47697,CC-P,15-2004,1135.262,1.265,CC-P,KENNEDY HEIGHTS,0015-2004,CPB
47698,PR,258-2007,1763.753,4.278,PR,KENNEDY HEIGHTS,0258-2007, 
47699,CC-P,324-2004,5583.487,17.81,CC-P,KENNEDY HEIGHTS,0015-2004,CPB
47700,CC-M,15-2004,1547.13,1.52,CC-M,KENNEDY HEIGHTS,0015-2004,CPB
47701,PR,258-2007,728.435,0.76,PR,KENNEDY HEIGHTS,0258-2007, 
47702,RM-1.2,15-2004,4538.539,23.181,RM-1.2,KENNEDY HEIGHTS,0015-2004,CPB
47703,SF-4,15-2004,4218.086,25.126,SF-4,KENNEDY HEIGHTS,0015-2004,CPB
47704,RMX,15-2004,5506.577,23.805,RMX,KENNEDY HEIGHTS,0015-2004,CPB
47705,PR,258-2007,1421.083,2.217,PR,KENNEDY HEIGHTS,0258-2007, 
47706,CG-A,15-2004,3594.73,13.144,CG-A,OAKLEY,0015-2004,CPB
47707,SF-10,15-2004,5356.719,31.124,SF-10,MADISONVILLE,0015-2004,CPB
47708,PR,258-2007,2574.283,7.789,PR,MADISONVILLE,0258-2007, 
47709,SF-4,15-2004,12775.182,68.815,SF-4,MADISONVILLE,0015-2004,CPB
47710,OL,347-2007,2513.151,6.449,OL,MADISONVILLE,0015-2004,CPB
47711,MG,15-2004,5352.485,37.207,MG,MADISONVILLE,0015-2004,CPB
47712,SF-6,15-2004,3812.263,20.334,SF-6,MADISONVILLE,0015-2004,CPB
47713,SF-6,15-2004,10605.389,41.988,SF-6,MADISONVILLE,0015-2004,CPB
47714,RM-2.0,15-2004,6087.046,40.966,RM-2.0,MADISONVILLE,0015-2004,CPB
47715,CC-A,15-2004,3740.474,13.918,CC-A,MADISONVILLE,0015-2004,CPB
47716,ML,15-2004,16365.904,126.657,ML,MADISONVILLE,0015-2004,CPB
47717,T3N,1268-2013,4266.648,14.671,T3N,MADISONVILLE,01268-2013,CPB
47718,T5MS-O,1268-2013,1436.161,2.701,T5MS-O,MADISONVILLE,01268-2013,CPB
47719,T5MS-O,1268-2013,944.35,1.089,T5MS-O,MADISONVILLE,01268-2013,CPB
47720,T4N.MF-O,1268-2013,1340.162,1.959,T4N.MF-O,MADISONVILLE,01268-2013,CPB
47721,T4N.SF-O,498-2019,1549.707,3.054,T4N.SF-O,MADISONVILLE,0498-2019,CP
47722,RMX,15-2004,3636.049,17.571,RMX,MADISONVILLE,0015-2004,CPB
47723,SF-4,15-2004,3229.053,9.416,SF-4,MADISONVILLE,0015-2004,CPB
47724,CG-A,15-2004,4376.97,13.708,CG-A,MADISONVILLE,0015-2004,CPB
47725,SF-4,15-2004,15016.246,66.297,SF-4,MADISONVILLE,0015-2004,CPB
47726,PR,258-2007,569.005,0.304,PR,MADISONVILLE,0258-2007, 
47727,T4N.SF-O,1268-2013,2542.797,5.08,T4N.SF-O,MADISONVILLE,01268-2013,CPB
47728,T5MS,1268-2013,2512.395,7.551,T5MS,MADISONVILLE,01268-2013,CPB
47729,T5N.SS-O,1268-2013,2210.205,5.022,T5N.SS-O,MADISONVILLE,01268-2013,CPB
47730,T3N,1268-2013,6797.602,34.528,T3N,MADISONVILLE,01268-2013,CPB
47731,T5MS-O,1268-2013,2201.86,4.186,T5MS-O,MADISONVILLE,01268-2013,CPB
47732,T4N.SF-O,1268-2013,1103.338,1.531,T4N.SF-O,MADISONVILLE,01268-2013,CPB
47733,T4N.SF,1268-2013,2295.111,3.404,T4N.SF,MADISONVILLE,01268-2013,CPB
47734,T4N.SF,1268-2013,1329.683,2.13,T4N.SF,MADISONVILLE,01268-2013,CPB
47735,RM-1.2,15-2004,3643.525,11.147,RM-1.2,MADISONVILLE,0015-2004,CPB
47736,PD,205-2017,1239.448,1.577,PD-73,MADISONVILLE,0205-2017,CP
47737,CG-A, ,1206.185,1.569,CG-A,OAKLEY, ,CP
47738,RM-2.0,15-2004,9607.918,75.293,RM-2.0,MADISONVILLE,0015-2004,CPB
47739,CG-A,15-2004,6815.976,25.778,CG-A,OAKLEY,0015-2004,CPB
47740,SF-4,15-2004,24376.312,153.073,SF-4,MADISONVILLE,0015-2004,CPB
47741,CN-P,15-2004,3295.632,4.613,CN-P,MADISONVILLE,0015-2004,CPB
47742,SF-6,15-2004,7114.949,46.401,SF-6,MADISONVILLE,0015-2004,CPB
47743,T3N,1268-2013,5726.736,19.376,T3N,MADISONVILLE,01268-2013,CPB
47744,T5MS-O,1268-2013,1581.992,3.338,T5MS-O,MADISONVILLE,01268-2013,CPB
47745,T4N.SF-O,1268-2013,2450.661,5.194,T4N.SF-O,MADISONVILLE,01268-2013,CPB
47746,T4N.MF-O,1268-2013,2225.196,3.046,T4N.MF-O,MADISONVILLE,01268-2013,CPB
47747,T4N.MF,1268-2013,862.838,1.029,T4N.MF,MADISONVILLE,01268-2013,CPB
47748,PD,320-2015,7999.545,34.327,PD-73,MADISONVILLE,0329-2015,CP
47749,CC-A,15-2004,3783.048,8.03,CC-A,KENNEDY HEIGHTS,0015-2004,CPB
47750,PR,258-2007,1182.944,1.668,PR,PLEASANT RIDGE,0258-2007, 
47751,RM-2.0,15-2004,12898.283,48.754,RM-2.0,PLEASANT RIDGE,0015-2004,CPB
47752,PR,258-2007,1380.918,2.056,PR,PLEASANT RIDGE,0258-2007, 
47753,PR,258-2007,3251.198,12.698,PR,KENNEDY HEIGHTS,0258-2007, 
47754,SF-4,15-2004,3320.229,12.498,SF-4,PLEASANT RIDGE,0015-2004,CPB
47755,CC-P,353-2016,2949.105,5.34,CC-P,PLEASANT RIDGE,0353-2016,CP
47756,SF-6,15-2004,8061.855,48.351,SF-6,PLEASANT RIDGE,0015-2004,CPB
47757,SF-20,15-2004,11050.842,89.798,SF-20,PLEASANT RIDGE,0015-2004,CPB
47758,SF-10,15-2004,9446.872,77.088,SF-10,PLEASANT RIDGE,0015-2004,CPB
47759,PR,258-2007,552.89,0.392,PR,PLEASANT RIDGE,0258-2007, 
47760,SF-6,15-2004,32411.175,223.301,SF-6,PLEASANT RIDGE,0015-2004,CPB
47761,ME,15-2004,8699.595,75.13,ME,PLEASANT RIDGE,0015-2004,CPB
47762,SF-4,15-2004,5374.96,26.029,SF-4,PLEASANT RIDGE,0015-2004,CPB
47763,RMX,15-2004,5329.566,12.827,RMX,PLEASANT RIDGE,0015-2004,CPB
47764,PR,258-2007,2922.273,9.206,PR,PLEASANT RIDGE,0258-2007, 
47765,MG,15-2004,16405.648,63.453,MG,BOND HILL,0015-2004,CPB
47766,SF-4,15-2004,7912.431,73.803,SF-4,PLEASANT RIDGE,0015-2004,CPB
47767,CC-P,15-2004,7804.254,23.561,CC-P,PLEASANT RIDGE,0015-2004,CPB
47768,RMX,15-2004,2676.119,6.019,RMX,PLEASANT RIDGE,0015-2004,CPB
47769,RM-1.2,15-2004,2324.84,4.681,RM-1.2,PLEASANT RIDGE,0015-2004,CPB
47770,RM-1.2,15-2004,8526.636,26.008,RM-1.2,PLEASANT RIDGE,0015-2004,CPB
47771,SF-6,15-2004,9287.733,44.602,SF-6,PLEASANT RIDGE,0015-2004,CPB
47772,PD,0286-2022,0,2.04,PD #93,PLEASANT RIDGE,0286-2022, 
47773,OL,15-2004,1195.973,1.721,OL,OAKLEY,0015-2004,CPB
47774,RM-1.2,15-2004,734.681,0.764,RM-1.2,OAKLEY,0015-2004,CPB
47775,PD,15-2004,1376.997,1.788,PD-30,OAKLEY,0015-2004,CPB
47776,RM-0.7,15-2004,1897.478,3.374,RM-0.7,OAKLEY,0015-2004,CPB
47777,OL,15-2004,1454.015,1.934,OL,OAKLEY,0015-2004,CPB
47778,RMX,15-2004,10652.211,60.012,RMX,OAKLEY,0015-2004,CPB
47779,CN-M,15-2004,2390.463,6.195,CN-M,OAKLEY,0015-2004,CPB
47780,PD,15-2004,2294.803,5.334,PD-29,OAKLEY,0015-2004,CPB
47781,SF-4,15-2004,24859.689,168.153,SF-4,OAKLEY,0015-2004,CPB
47782,SF-4,15-2004,11903.23,89.96,SF-4,OAKLEY,0015-2004,CPB
47783,RMX,15-2004,6053.73,18.747,RMX,OAKLEY,0015-2004,CPB
47784,CC-M,15-2004,9317.101,35.498,CC-M,OAKLEY,0015-2004,CPB
47785,CG-A,15-2004,7633.066,38.679,CG-A,OAKLEY,0015-2004,CPB
47786,SF-6,15-2004,7686.929,54.522,SF-6,OAKLEY,0015-2004,CPB
47787,PD,308-2013,2897.104,8.004,PD-70,OAKLEY,0308-2013,CPB
47788,MG,15-2004,64862.052,425.66,MG,OAKLEY,0015-2004,CPB
47789,MG,15-2004,62169.434,379.735,MG,OAKLEY,0015-2004,CPB
47790,RMX,351-2020,986.206,1.158,RMX,OAKLEY,0351-2020,CP
47791,CG-A,15-2004,5044.36,29.47,CG-A,OAKLEY,0015-2004,CPB
47792,RMX,15-2004,2332.614,6.472,RMX,OAKLEY,0015-2004,CPB
47793,CG-A,15-2004,12853.737,87.29,CG-A,OAKLEY,0015-2004,CPB
47794,CN-P,15-2004,946.246,0.759,CN-P,OAKLEY,0015-2004,CPB
47795,PD,0147-2011,7680.189,73.196,PD-64,OAKLEY,0147-2011,CPB
47796,RM-2.0,479-2019,1189.332,1.714,RM-2.0,OAKLEY,0479-2019,CP
47797,PD,227-2020,5049.64,31.86,PD-88,OAKLEY,0227-2020,CP
47798,RMX,15-2004,4377.061,14.181,RMX,PLEASANT RIDGE,0015-2004,CPB
47799,PR,258-2007,4188.519,10.866,PR,PLEASANT RIDGE,0258-2007, 
47800,SF-4,15-2004,15823.03,104.118,SF-4,PLEASANT RIDGE,0015-2004,CPB
47801,SF-4,15-2004,3470.067,8.191,SF-4,PLEASANT RIDGE,0015-2004,CPB
47802,CC-M,36-2007,8379.274,24.792,CC-M,OAKLEY,0015-2004,CPB
47803,RM-1.2,15-2004,5351.498,16.344,RM-1.2,PLEASANT RIDGE,0015-2004,CPB
47804,CC-A,15-2004,4257.945,10.343,CC-A,PLEASANT RIDGE,0015-2004,CPB
47805,RM-2.0,15-2004,2488.106,7.487,RM-2.0,PLEASANT RIDGE,0015-2004,CPB
47806,SF-4,15-2004,3783.349,17.395,SF-4,PLEASANT RIDGE,0015-2004,CPB
47807,PD,374-2006,6239.653,30.68,PD-45,OAKLEY,0374-2006,CPB
47808,SF-6,15-2004,15239.981,92.475,SF-6,HYDE PARK,0015-2004,CPB
47809,SF-10,15-2004,3646.313,18.555,SF-10,OAKLEY,0015-2004,CPB
47810,RM-2.0,15-2004,4975.4,20.221,RM-2.0,OAKLEY,0015-2004,CPB
47811,RM-2.0,15-2004,7671.048,43.998,RM-2.0,HYDE PARK,0015-2004,CPB
47812,SF-4,15-2004,4867.42,20.354,SF-4,OAKLEY,0015-2004,CPB
47813,SF-20,15-2004,18937.317,199.862,SF-20,OAKLEY,0015-2004,CPB
47814,PR,258-2007,1539.162,2.521,PR,HYDE PARK,0258-2007, 
47815,SF-6,15-2004,6689.736,23.76,SF-6,HYDE PARK,0015-2004,CPB
47816,PD,15-2004,1888.326,4.942,PD-37,OAKLEY,0015-2004,CPB
47817,OL,340-2005,431.097,0.255,OL,OAKLEY,0015-2004,CPB
47818,SF-6,15-2004,1704.621,2.721,SF-6,OAKLEY,0015-2004,CPB
47819,ML,15-2004,3432.344,14.678,ML,OAKLEY,0015-2004,CPB
47820,PD,15-2004,2367.787,3.724,PD-31,OAKLEY,0015-2004,CPB
47821,CN-P,15-2004,1338.711,1.336,CN-P,OAKLEY,0015-2004,CPB
47822,PD,15-2004,1467.063,2.43,PD-14,HYDE PARK,0015-2004,CPB
47823,SF-6,342-2005,5272.946,5.833,SF-6,OAKLEY,0015-2004,CPB
47824,SF-20,102-2010,13302.469,91.488,SF-20,HYDE PARK,0102-2010,CPB
47825,SF-4,15-2004,4698.323,9.987,SF-4,OAKLEY,0015-2004,CPB
47826,RM-2.0,15-2004,4464.961,9.44,RM-2.0,OAKLEY,0015-2004,CPB
47827,RM-1.2,15-2004,8146.115,20.974,RM-1.2,OAKLEY,0015-2004,CPB
47828,RM-2.0,15-2004,2080.156,4.254,RM-2.0,OAKLEY,0015-2004,CPB
47829,CC-A,15-2004,5450.759,15.723,CC-A,OAKLEY,0015-2004,CPB
47830,PR,258-2007,2495.678,6.33,PR,HYDE PARK,0258-2007, 
47831,PD,15-2004,2297.313,4.436,PD-13,HYDE PARK,0015-2004,CPB
47832,RM-2.0,15-2004,1015.418,1.331,RM-2.0,OAKLEY,0015-2004,CPB
47833,SF-2,15-2004,1562.767,3.254,SF-2,OAKLEY,0015-2004,CPB
47834,SF-6,15-2004,6548.963,29.386,SF-6,OAKLEY,0015-2004,CPB
47835,RM-2.0,193-2005,907.602,0.938,RM-2.0,HYDE PARK,0015-2004,CPB
47836,SF-4,15-2004,2840.695,7.391,SF-4,OAKLEY,0015-2004,CPB
47837,CN-P,15-2004,1893.252,2.95,CN-P,OAKLEY,0015-2004,CPB
47838,PR,258-2007,3686.765,10.434,PR,MOUNT LOOKOUT,0258-2007, 
47839,SF-4,15-2004,5086.071,22.126,SF-4,MOUNT LOOKOUT,0015-2004,CPB
47840,SF-10,15-2004,7202.55,14.806,SF-10,MOUNT LOOKOUT,0015-2004,CPB
47841,PR,258-2007,15000.463,214.14,PR,MOUNT LOOKOUT,0258-2007, 
47842,SF-20,231-2010,4653.837,9.958,SF-20,MT LOOKOUT,0231-2010,CPB
47843,PD,15-2004,16331.911,54.575,PD-26,MOUNT WASHINGTON,0015-2004,CPB
47844,PD,15-2004,2370.602,6.509,PD-24,MOUNT WASHINGTON,0015-2004,CPB
47845,PD,15-2004,1718.363,3.4,PD-22,MOUNT WASHINGTON,0015-2004,CPB
47846,SF-6,15-2004,83124.878,894.456,SF-6,MOUNT WASHINGTON,0015-2004,CPB
47847,PD,15-2004,2281.97,5.842,PD-27,MOUNT WASHINGTON,0015-2004,CPB
47848,RM-2.0,15-2004,5924.199,16.475,RM-2.0,MOUNT WASHINGTON,0015-2004,CPB
47849,SF-6,15-2004,7501.186,26.337,SF-6,MOUNT WASHINGTON,0015-2004,CPB
47850,PR,258-2007,14664.711,130.261,PR,MT WASHINGTON,0258-2007, 
47851,SF-10,15-2004,5032.797,28.336,SF-10,MOUNT WASHINGTON,0015-2004,CPB
47852,SF-20,15-2004,5180.331,30.293,SF-20,MOUNT WASHINGTON,0015-2004,CPB
47853,SF-6,15-2004,8622.387,96.097,SF-6,MOUNT WASHINGTON,0015-2004,CPB
47854,RM-2.0,15-2004,3667.052,10.109,RM-2.0,MOUNT WASHINGTON,0015-2004,CPB
47855,SF-10,15-2004,5451.802,29.562,SF-10,MOUNT WASHINGTON,0015-2004,CPB
47856,CN-M,15-2004,2889.353,4.976,CN-M,MOUNT WASHINGTON,0015-2004,CPB
47857,PR,258-2007,1368.117,2.643,PR,MT WASHINGTON,0258-2007, 
47858,RM-2.0,15-2004,6553.034,19.121,RM-2.0,MOUNT WASHINGTON,0015-2004,CPB
47859,RM-1.2,15-2004,3564.487,6.698,RM-1.2,MOUNT WASHINGTON,0015-2004,CPB
47860,PR,258-2007,406.633,0.174,PR,HYDE PARK,0258-2007, 
47861,PR,285-2007,742.532,0.639,PR,HYDE PARK,0258-2007, 
47862,RM-2.0,15-2004,2274.794,3.904,RM-2.0,HYDE PARK,0015-2004,CPB
47863,SF-10,15-2004,5713.593,21.007,SF-10,HYDE PARK,0015-2004,CPB
47864,RM-1.2,258-2007,20000.172,63.618,RM-1.2,HYDE PARK,0015-2004,CPB
47865,SF-6,15-2004,94840.086,671.229,SF-6,HYDE PARK,0318-2015,CPB
47866,SF-10,15-2004,4357.226,16.461,SF-10,EVANSTON,0015-2004,CPB
47867,SF-10,107-2010,2797.745,5.589,SF-10,HYDE PARK,0107-2010,CPB
47868,SF-10,318-2015,2635.8,4.428,SF-10,HYDE PARK,0318-2015,CP
47869,PD,15-2004,1917.853,4.001,PD-20,MOUNT LOOKOUT,0015-2004,CPB
47870,SF-10,15-2004,6975.624,20.477,SF-10,HYDE PARK,0015-2004,CPB
47871,RM-2.0,15-2004,8684.165,24.598,RM-2.0,MOUNT LOOKOUT,0015-2004,CPB
47872,SF-10,15-2004,22563.908,95.571,SF-10,HYDE PARK,0015-2004,CPB
47873,SF-4,15-2004,8423.235,26.404,SF-4,MOUNT LOOKOUT,0015-2004,CPB
47874,SF-2,15-2004,4953.256,12.73,SF-2,MOUNT LOOKOUT,0015-2004,CPB
47875,SF-6,15-2004,14781.959,49.988,SF-6,MOUNT LOOKOUT,0015-2004,CPB
47876,RM-2.0,15-2004,2895.122,8.179,RM-2.0,MOUNT LOOKOUT,0015-2004,CPB
47877,PD,15-2004,1674.618,2.76,PD-21,MOUNT LOOKOUT,0015-2004,CPB
47878,SF-10,104-2010,2269.806,4.412,SF-10,HYDE PARK,0104-2010,CPB
47879,SF-10,225-2010,2930.939,8.45,SF-10,MT LOOKOUT,0225-2010,CPB
47880,SF-10,226-2010,8691.906,46.232,SF-10,MT LOOKOUT,0226-2010,CPB
47881,MG,15-2004,23478.594,177.247,MG,EAST END,0015-2004,CPB
47882,SF-2,15-2004,14915.301,59.967,SF-2,COLUMBIA TUSCULUM,0015-2004,CPB
47883,SF-20,15-2004,15977.342,194.823,SF-20,COLUMBIA TUSCULUM,0015-2004,CPB
47884,PR,258-2007,11299.779,103.051,PR,COLUMBIA TUSCULUM,0258-2007, 
47885,PR,15-2004,2393.794,2.731,PR,COLUMBIA TUSCULUM,0015-2004,CPB
47886,RMX,15-2004,11738.717,37.526,RMX,COLUMBIA TUSCULUM,0015-2004,CPB
47887,SF-4,15-2004,2465.278,6.826,SF-4,COLUMBIA TUSCULUM,0015-2004,CPB
47888,RM-1.2,15-2004,6678.977,19.701,RM-1.2,HYDE PARK,0015-2004,CPB
47889,RMX,15-2004,9801.279,26.784,RMX,COLUMBIA TUSCULUM,0015-2004,CPB
47890,SF-20,15-2004,67626.769,683.511,SF-20,HYDE PARK,0015-2004,CPB
47891,SF-2,15-2004,7834.889,16.382,SF-2,EAST END,0015-2004,CPB
47892,PR,258-2007,246.687,0.088,PR,EAST END,0258-2007, 
47893,CN-M,15-2004,1668.733,3.067,CN-M,EVANSTON,0015-2004,CPB
47894,CN-M,15-2004,1253.73,1.589,CN-M,EAST END,0015-2004,CPB
47895,PR,258-2007,2333.969,2.665,PR,EAST END,0258-2007, 
47896,PD,15-2004,1278.881,1.752,PD-19,MOUNT LOOKOUT,0015-2004,CPB
47897,PR,258-2007,7491.986,19.223,PR,HYDE PARK,0258-2007, 
47898,SF-6,15-2004,2769.712,6.79,SF-6,COLUMBIA TUSCULUM,0015-2004,CPB
47899,SF-10,15-2004,4207.177,10.094,SF-10,HYDE PARK,0015-2004,CPB
47900,SF-10,15-2004,2922.185,4.459,SF-10,HYDE PARK,0015-2004,CPB
47901,SF-20,99-2010,1728.708,3.634,SF-20,HYDE PARK,0099-2010,CPB
47902,SF-20,101-2010,11761.815,84.918,SF-20,HYDE PARK,0101-2010,CPB
47903,SF-20,100-2010,7180.509,30.886,SF-20,HYDE PARK,0100-2010,CPB
47904,RF-R,15-2004,21953.709,152.484,RF-R,EAST END,0015-2004,CPB
47905,PR,258-2007,1041.274,0.598,PR,EAST END,0258-2007, 
47906,PR,258-2007,636.853,0.38,PR,EAST END,0258-2007, 
47907,PR,258-2007,432.66,0.219,PR,EAST END,0258-2007, 
47908,PR,258-2007,1357.618,0.845,PR,EAST END,0258-2007, 
47909,PR,258-2007,558.693,0.261,PR,EAST END,0258-2007, 
47910,PD,296-2017,964.159,1.298,PD-80,COLUMBIA TUSCULUM,0296-2017,CP
47911,PR,258-2007,2759.631,5.385,PR,EAST END,0258-2007, 
47912,PR,258-2007,1391.427,2.286,PR,EAST END,0258-2007, 
47913,SF-2,15-2004,1466.045,2.011,SF-2,EAST END,0015-2004,CPB
47914,RF-R,15-2004,5149.129,12.189,RF-R,EAST END,0015-2004,CPB
47915,PR,258-2007,1693.647,2.981,PR,EAST END,0258-2007, 
47916,CG-A,15-2004,11628.531,42.068,CG-A,EAST END,0015-2004,CPB
47917,RF-M,15-2004,8254.228,38.876,RF-M,EAST END,0015-2004,CPB
47918,PR,258-2007,1208.185,1.7,PR,EAST END,0258-2007, 
47919,ML,15-2004,45511.547,613.823,ML,LINWOOD,0015-2004,CPB
47920,RF-M,426-2005,5841.416,38.731,RF-M,EAST END,0015-2004,CPB
47921,PR,258-2007,2150.957,3.029,PR,COLUMBIA TUSCULUM,0258-2007,CPB
47922,PR,258-2007,520.986,0.357,PR,COLUMBIA TUSCULUM,0258-2007,CPB
47923,PR,258-2007,479.81,0.27,PR,COLUMBIA TUSCULUM,0258-2007,CPB
47924,PR,258-2007,2013.002,2.473,PR,COLUMBIA TUSCULUM,0258-2007,CPB
47925,SF-20,15-2004,307.945,0.073,SF-20,COLUMBIA TUSCULUM,0015-2004,CPB
47926,PR,258-2007,3957.688,5.512,PR,COLUMBIA TUSCULUM,0258-2007,CPB
47927,PR,258-2007,2007.864,4.863,PR,EVANSTON,0258-2007, 
47928,PD,15-2004,1118.379,1.257,PD-11,EAST WALNUT HILLS,0015-2004,CPB
47929,OL,15-2004,1309.544,1.692,OL,EAST WALNUT HILLS,0015-2004,CPB
47930,RMX,15-2004,4640.042,15.63,RMX,EVANSTON,0015-2004,CPB
47931,RM-2.0,15-2004,4375.316,13.626,RM-2.0,EAST WALNUT HILLS,0015-2004,CPB
47932,RMX,255-2007,1565.695,2.018,RMX,EVANSTON,0015-2004,CPB
47933,PD,305-2015,927.425,1.19,PD-75,EAST WALNUT HILLS,0305-2015,CP
47934,RM-0.7,220-2018,1267.235,2.032,RM-0.7,EVANSTON,0220-2018,CP
47935,RM-0.7,346-2021,1324.253,1.871,RM-0.7,EVANSTON,0346-2021,CP
47936,CN-P,255-2007,3062.191,4.238,CN-P,EVANSTON,0015-2004,CPB
47937,PR,258-2007,1244.644,1.852,PR,AVONDALE,0258-2007, 
47938,CC-P,15-2004,581.649,0.245,CC-P,AVONDALE,0015-2004,CPB
47939,RMX,15-2004,3626.229,10.298,RMX,AVONDALE,0015-2004,CPB
47940,RMX,15-2004,8122.324,19.963,RMX,WALNUT HILLS,0015-2004,CPB
47941,ML,15-2004,9289.865,51.696,ML,WALNUT HILLS,0015-2004,CPB
47942,T5N.LS,2-2014,3800.891,8.038,T5N.LS,WALNUT HILLS,0002-2014,CPB
47943,T4N.SF-O,2-2014,853.541,1.052,T4N.SF-O,WALNUT HILLS,0002-2014,CPB
47944,T4N.SF,2-2014,7096.295,28.506,T4N.SF,WALNUT HILLS,0002-2014,CPB
47945,T4N.SF-O,2-2014,3463.867,5.64,T4N.SF-O,WALNUT HILLS,0002-2014,CP
47946,PD,280-2017,3345.397,13.228,PD-79,AVONDALE,0280-2017,CP
47947,T5N.SS-O,143-2019,1030.144,1.334,T5N.SS-O,WALNUT HILLS,0143-2019,CP
47948,OL,15-2004,4284.627,10.019,OL,EAST WALNUT HILLS,0015-2004,CPB
47949,CC-M,163-2007,1117.437,1.042,CC-M,EAST WALNUT HILLS,0015-2004,CPB
47950,CC-P,15-2004,2086.019,2.677,CC-P,EAST WALNUT HILLS,0015-2004,CPB
47951,RMX,15-2004,4940.844,10.721,RMX,EAST WALNUT HILLS,0015-2004,CPB
47952,CC-M,15-2004,2277.664,2.718,CC-M,EAST WALNUT HILLS,0015-2004,CPB
47953,T5N.SS-O,2-2014,9736.735,36.824,T5N.SS-O,WALNUT HILLS,0002-2014,CPB
47954,T5N.LS-O,2-2014,3171.419,6.845,T5N.LS-O,WALNUT HILLS,0002-2014,CPB
47955,T5MS-O,2-2014,877.635,0.963,T5MS-O,WALNUT HILLS,0002-2014,CPB
47956,PD,306-2017,3266.82,8.958,PD-81,EAST WALNUT HILLS,0306-2017,CP
47957,PR,258-2007,1625.071,2.825,PR,EAST END,0258-2007, 
47958,IR,15-2004,3599.134,9.752,IR,EAST WALNUT HILLS,0015-2004,CPB
47959,RM-1.2,15-2004,4503.319,12.036,RM-1.2,EAST WALNUT HILLS,0015-2004,CPB
47960,OL,15-2004,3246.221,10.673,OL,WALNUT HILLS,0015-2004,CPB
47961,PR,258-2007,275.322,0.086,PR,EAST WALNUT HILLS,0258-2007, 
47962,SF-20,15-2004,6833.569,16.762,SF-20,EAST WALNUT HILLS,0015-2004,CPB
47963,PR,258-2007,414.974,0.195,PR,EAST WALNUT HILLS,0258-2007, 
47964,RM-1.2,33-2007,8129.455,18.133,RM-1.2,EAST END,0015-2004,CPB
47965,SF-10,15-2004,5229.728,12.725,SF-10,EAST WALNUT HILLS,0015-2004,CPB
47966,RM-2.0,15-2004,5112.057,18.526,RM-2.0,EAST WALNUT HILLS,0015-2004,CPB
47967,RM-0.7,15-2004,3786.922,13.33,RM-0.7,EAST WALNUT HILLS,0015-2004,CPB
47968,PR,258-2007,884.797,0.601,PR,EAST WALNUT HILLS,0258-2007, 
47969,PR,258-2007,3781.416,7.266,PR,EAST END,0258-2007, 
47970,PR,258-2007,293.616,0.061,PR,EAST WALNUT HILLS,0258-2007, 
47971,PR,258-2007,709.388,0.715,PR,HARTWELL,0258-2007, 
47972,RM-2.0,15-2004,2743.135,7.711,RM-2.0,HARTWELL,0015-2004,CPB
47973,CG-A,15-2004,23995.721,157.715,CG-A,ROSELAWN,0015-2004,CPB
47974,SF-4,15-2004,3765.31,8.691,SF-4,HARTWELL,0015-2004,CPB
47975,RM-2.0,15-2004,9756.282,33.182,RM-2.0,HARTWELL,0015-2004,CPB
47976,CN-M,15-2004,3033.173,7.445,CN-M,HARTWELL,0015-2004,CPB
47977,SF-4,15-2004,1761.557,2.974,SF-4,HARTWELL,0015-2004,CPB
47978,CC-A,15-2004,10444.043,30.69,CC-A,HARTWELL,0015-2004,CPB
47979,SF-6,15-2004,11483.112,109.989,SF-6,HARTWELL,0015-2004,CPB
47980,CC-A,15-2004,1491.35,1.846,CC-A,ROSELAWN,0015-2004,CPB
47981,SF-4,15-2004,3312.508,11.001,SF-4,HARTWELL,0015-2004,CPB
47982,CN-P,15-2004,659.987,0.595,CN-P,HARTWELL,0015-2004,CPB
47983,SF-10,15-2004,8906.555,82.978,SF-10,HARTWELL,0015-2004,CPB
