OBJECTID,ZONECLASS,ZONEDESC,BASEELEV,HEIGHT,LASTUPDATE,LASTEDITOR,SPI,SUBAREA,TSA,STATUS,CASEIN,CASEOUT,SUNRISE,SUNSET,CREATEDATE,CREATEDBY,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,ACRES,ZONING,EDITTED,REFERENCE,SHAPE_Area,SHAPE_Length
12237,I-1-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D3004ABC-6AE9-432C-B5B2-69473665696E},0.60893347,I-1-C, ,R3335,26525.0359861218,657.764196775817
12238,C-1-C,"https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE
",0,0,, , , , ,Current,Z-16-006, ,2016/06/11 00:00:00+00,2999/12/31 00:00:00+00,2016/06/14 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{46B502A6-C53F-45A0-B2FD-78CF17986055},3.19432351,C-1-C, ,R3304,139144.175311175,1558.98090867369
12239,I-2-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH17HEINDIRE,0,0,, , , , ,Current,Z-13-050, ,2014/01/31 00:00:00+00,2999/12/31 00:00:00+00,2014/07/08 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D9821381-A1F8-433A-9072-5BA778B7DAFC},9.94011715,I-2-C, ,R1458,463966.70944215,3228.63454493884
12240,MR-4A,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH35MRMUMIREDIRE,0,0,, , , , ,Current,Z-14-012, ,2014/07/30 00:00:00+00,2999/12/31 00:00:00+00,2014/08/20 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{DE02A08E-94B8-4FD0-A664-F052CB725298},3.99216304,MR-4A, ,R2947,173897.92656517,1715.88145973048
12241,C-3-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH13COREDIRE,0,0,, , , , ,Current,Z-05-121, ,2006/02/14 00:00:00+00,2999/12/31 00:00:00+00,2014/09/12 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{96C856C7-5573-4D0C-B792-FB8F8EA33494},0.02249989,C-3-C, ,R2244,980.091394414952,125.722728085464
12242,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current,Z-14-019, ,2014/07/21 00:00:00+00,2999/12/31 00:00:00+00,2014/09/15 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{CC9F2779-1793-43C3-A267-A8CC4B55E306},1.39650768,C-1, ,R2987,60831.6311474844,1071.50492495922
12243,R-3,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH5SIMIREDIRE,0,0,, , , , ,Current,Z-13-009, ,2013/08/11 00:00:00+00,,2014/10/17 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{2505463A-E1BA-40B6-80DE-17E049B918B7},128.06186924,R-3, ,R2744,5578352.71062726,13780.7519653559
12244,R-4,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH6SIMIREDIRE,0,0,, , , , ,Current,Z-14-057, ,2014/12/10 00:00:00+00,2999/12/31 00:00:00+00,2015/01/30 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{6BC5787A-C4F4-49B3-8526-4E01D4EDA718},0.32729063,R-4, ,R3332,14256.7228127669,585.264899313668
12245,PD-H,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH19APLDEOUDIRE,0,0,, , , , ,Current,Z-14-043, ,2014/11/17 00:00:00+00,2999/12/31 00:00:00+00,2015/02/12 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{AB2C1874-BE67-4333-9301-E0B6C8DD98C6},1.01119537,PD-H, ,R2064,44047.494287624,850.607747157381
12247,PD-MU,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH19BPLDEIXUSDIRE,0,0,, , , , ,Current,Z-14-076, ,2015/04/29 00:00:00+00,2999/12/31 00:00:00+00,2015/08/25 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{13E17CF4-5787-4434-84F5-19E4BFBA5404},4.89779065,PD-MU, ,R2078,213346.907271943,2500.36715267249
