OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
18139,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-3,Commercial Mixed Use,,,,,,333,2010,,Commercial MU per definitions in code,NA.pdf,850ea14f-c285-4e6c-8dfe-d9057e6269a7,3,Yes,259886.6997,2096.011159
18141,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-3A,Commercial Mixed Use,,,,,,1435,2020,,,NA.pdf,85d1cb04-f002-4ebf-8252-0a5a37625582,3,Yes,930382.4819,5706.719887
18143,2010,"Campus  (EI, EI2, ENT, H, H2, NWC)",SPECIAL CAMPUS,CMP,999,CMP-NWC-C,Commercial Mixed Use,UO-2,,,,,753,2019,,,NA.pdf,86996fbc-994e-4298-8dc3-9d0513886b43,,Yes,562869.27,3549.947656
18144,2010,Main Street  (MS),URBAN EDGE,E-MS,MS,E-MS-3,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,86de214e-690b-4302-9692-44609c8fa390,3,Yes,112223.395,1728.097316
18145,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,84,2017,,,NA.pdf,872f79fc-573e-4e8d-a43e-70bd3d91cfb5,3,Yes,212934.1763,1815.847541
18147,2010,"Multi Unit  (MU, RH, RO)",GENERAL URBAN,G-RH,RH,G-RH-3,Residential,DO-10,,,,,1647,2022,,,NA.pdf,893f21e8-cafb-4bbb-800d-bf76cd7b503b,3,Yes,16955.24365,538.7745877
18148,2010,Main Street  (MS),URBAN EDGE,E-MS,MS,E-MS-5,Commercial Mixed Use,,,,,,1163,2018,,,NA.pdf,89759760-145b-451e-98ad-7bd774601e05,5,Yes,47661.04102,918.7609159
18149,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-3,Commercial Mixed Use,,,,,,356,2021,,,NA.pdf,8a27b5b9-ee2e-41b3-ab07-73ca013bb68c,3,Yes,211580.5366,1857.523938
18150,2010,Two Unit  (TU),URBAN EDGE,E-TU,TU,E-TU-C,Residential,,,,,,333,2010,,,NA.pdf,8a2f6c57-f6dc-4bfb-878d-7763f41eaf8e,,Yes,1088001.876,6276.97143
18151,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-5,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,8a58bdb4-8063-4642-91b2-d46b257015e3,5,Yes,327068.4282,2641.328298
18152,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,UO-3,,,,,333,2010,,,NA.pdf,8a6ca4da-c216-4afc-a586-ad3baff8f93f,2.5,Yes,23746.6416,618.6965037
