OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
14683,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,,,,257,2008,,,NA.pdf,01428113-0c52-4c8b-96fe-b183f6d5de5c,,Yes,99141.83984,1307.712008
14684,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,183,,660,1985,,P1289,PUD 183.pdf,0143e528-87cf-48ac-9361-073969128bcc,,No,278535.6182,2172.213595
14685,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,6,,199,1978,,,PUD 6.pdf,019de7da-0121-4530-8826-6186ec9de86d,,No,14134.15723,494.2263591
14686,1956,Former Chapter 59 Zone,,,999,B-1,Commercial Mixed Use,,,,,,248,1972,PBG,,NA.pdf,01b4b23e-983e-48ca-bf58-ae9c666417b0,,No,112437.6016,1437.148577
14687,2010,Two Unit  (TU),URBAN,U-TU,TU,U-TU-B,Residential,,,,,,333,2010,,,NA.pdf,01c0ef81-62e4-4c0d-981e-06b852674288,,Yes,70622.37207,1339.39072
14688,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,82,1964,PBG,,NA.pdf,02140073-537b-4cd7-af62-a34134624dce,,No,441494.1942,3458.495023
14689,2010,Industrial - Light  (I-A),SPECIAL INDUSTRIAL,I,999,I-A,Industrial,UO-2,,,,,333,2010,,,NA.pdf,0220349a-31c3-4a93-986f-cc386747c336,,No,1288672.957,5761.770382
14690,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,027c3123-2638-4bc4-9ffb-b665ccf585e9,,No,298286.3232,2717.348219
14691,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,567,,615,2004,,,PUD 567.pdf,02864513-4133-475c-94b7-7df049599868,,No,8152.842285,431.4953639
14692,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-B,Residential,,,,,,333,2010,, ,NA.pdf,030c0698-a298-4629-880c-527a3e31d644,,No,169711.4941,1882.212237
14693,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,030f3934-1b1c-4b83-ad37-58d87ad33128,,No,483351.1865,3106.620416
14694,1956,Former Chapter 59 Zone,,,999,R-2,Residential,,,,,,379,1970,PBG,,NA.pdf,0343eac2-c59d-4f16-9729-a9eb5e9059eb,,No,725350.252,3531.587855
14695,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,1644,2025,,,NA.pdf,0354fc7d-62a7-45f3-a599-40b32bf5e7ce,3,Yes,1108765.705,4965.070546
14696,1956,Former Chapter 59 Zone,,,999,T-MU-30,Commercial Mixed Use,UO-1,WVRS,*,,,935,2004,,,NA.pdf,0357cab0-6356-4eab-b6c4-dc3e83aaf6aa,,No,1001276.484,4581.197548
14697,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,209,1962,PBG,,NA.pdf,03996264-b966-4600-859e-ff707d71d3e7,,No,36598.3877,776.689159
14698,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,800,1999,PBG,,NA.pdf,03b13675-07bc-49b7-a514-d86c1e28c5ac,,No,807313.6455,4340.543202
14699,2010,Airport  (DIA),SPECIAL AIRPORT,DIA,999,DIA,Commercial Mixed Use,"AIO, DO-6",,,,,815,2014,,,NA.pdf,03c1b6e7-bff7-4d12-ae6d-b6be6139eae3,,No,668931.4243,3660.432003
14700,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,274,,755,1989,,,PUD 274.pdf,03f8e5ca-a2fa-4b88-ace2-2a8143a1c5a0,,No,231306.9155,2228.184017
14701,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,610,,105,2008,,,PUD 610.pdf,0466733e-2813-4e72-aeac-fe0e1bbaebbf,,No,12203.98584,480.4905238
14702,1956,Former Chapter 59 Zone,,,999,R-2,Residential,,WVRS,*,,,780,1986,,,NA.pdf,047a0276-cc79-4ca9-9644-2d259f587602,,No,827697.0635,4621.095629
14703,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,456,1969,PBG,,NA.pdf,04c16c68-3e8d-43fd-8f11-119bbc681be7,,No,2218652.552,11642.46863
14704,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,0542bb5b-bed6-458d-98ef-3a89a916218c,,No,755886.5244,5774.956316
14705,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-F,Residential,,,,,,333,2010,,,NA.pdf,0569152b-dd5e-4312-9409-c5daebf3540a,,No,51768.72461,975.2693699
14706,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,2,1971,PBG,,NA.pdf,05fee6ee-b58c-4c5d-8e47-1469c9de6728,,No,388424.0015,2516.424874
14707,1956,Former Chapter 59 Zone,,,999,R-5,Residential,,,,,,367,1974,PBG,,NA.pdf,067553e9-6c13-4d3e-82df-4bdc34fbd168,,No,1670655.669,5118.084355
14708,1956,Former Chapter 59 Zone,,,999,B-3,Commercial Mixed Use,,,,,,474,1964,PBG,,NA.pdf,06c83edc-de53-47d8-9e7b-0b99d81b3623,,No,1195399.211,4368.698931
14709,2010,"Campus  (EI, EI2, ENT, H, H2, NWC)",SPECIAL CAMPUS,CMP,999,CMP-EI,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,06d630c4-5c7e-4bc7-9e89-7973b38d1039,,Yes,415626.6514,3140.908571
14710,1956,Former Chapter 59 Zone,,,999,P-1,Commercial Mixed Use,,,,,,378,1970,PBG,,NA.pdf,06e0ca24-7a34-4e0f-8725-7decb1926d52,,No,73086.03223,1317.993985
14711,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-F,Residential,,,,,,333,2010,,,NA.pdf,072967b9-3d25-4683-bfd6-0500fe647236,,No,9817385.255,19839.6603
14712,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,,,,569,2003,,,NA.pdf,077fe025-5e40-4d26-b14c-a057234274fc,,Yes,1079906.636,6151.201677
14713,1956,Former Chapter 59 Zone,,,999,R-3,Residential,UO-3,,,,,392,1956,PBG,,NA.pdf,07a441c9-ac12-4010-bb2c-1349c9093689,,No,633599.7339,3224.58052
14714,1956,Former Chapter 59 Zone,,,999,B-1,Commercial Mixed Use,,,,,,396,1965,PBG,,NA.pdf,07bff170-ecc4-454b-ae5d-5dc3ae12ff73,,No,94099.50049,1255.246292
14715,1956,Former Chapter 59 Zone,,,999,R-4,Residential,OD-1,,,,,242,2004,PBG,,NA.pdf,081d6a71-1dfa-48ae-b9ce-ff55ebaf91dc,,No,33346.91748,729.5684878
14716,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,*,,,90,2006,,,NA.pdf,082ebeed-eb0d-4530-aabf-901f9fd76baa,,Yes,382328.3032,2525.338452
14717,1956,Former Chapter 59 Zone,,,999,H-1-B,Commercial Mixed Use,,,,,,197,1992,PBG,,NA.pdf,091febb3-509b-447f-80a3-9f1eeb3da819,,No,1221509.779,4661.668264
14718,1956,Former Chapter 59 Zone,,,999,C-MU-30,Commercial Mixed Use,UO-1,,,,,132,2007,PBG,,NA.pdf,09319d00-425d-4661-ace0-5d1a48e6e7a8,,Yes,659154.979,3520.887131
14719,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,095d8c75-c8a5-4b0f-bd1f-bfb832ded6db,,No,21465821.64,39278.6371
14720,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,302,,854,1991,,,PUD 302.pdf,09794747-4ce9-483d-9feb-bd30976412c3,,No,23153.04297,609.5894167
14721,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-D,Residential,,,,,,333,2010,,,NA.pdf,098258a1-ad35-4232-a8c0-1a377da86d80,,No,127649.2734,1516.019344
14722,2010,Single Unit  (SU),URBAN,U-SU,SU,U-SU-B,Residential,UO-3,,,,,333,2010,,,NA.pdf,09f23c90-6b1e-4a9d-8770-9e354d9e5ae0,,No,328229.3218,2630.218155
14723,1956,Former Chapter 59 Zone,,,999,R-3,Residential,UO-3,,,,,48,1965,PBG,,NA.pdf,0aca5ab9-4c39-4063-872a-9553012148f7,,No,203804.3384,2501.546578
14724,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-DX,Residential,,,,,,333,2010,,,NA.pdf,0b1edebf-29e9-4544-b0f5-1b62a86b0f52,,No,329428.936,2664.003298
14725,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,1644,2025,,,NA.pdf,0b69918a-5763-4526-b8fc-9f3084eb814b,3,Yes,427189.3369,3007.727699
14726,1956,Former Chapter 59 Zone,,,999,B-3,Commercial Mixed Use,,,,,,618,1975,PBG,,NA.pdf,0b6b26b5-b389-4ad5-a883-e15a7f257400,,No,104890.1309,1425.654322
14728,2010,"Planned Unit Development  (PUD-D, PUD-G)",SPECIAL PUD,PUD,999,PUD-G,PUD,,,,#8,U-MS-3,477,2013,,Standard Zone Dist: U-MS-3,PUD_G_8.pdf,0bc00e98-3f68-43f1-8d35-9caf179fee48,,No,266875.4888,2307.75761
14729,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,0c005860-b8cb-4807-82ba-8e6dc07411d2,,No,314769.2739,6222.251199
14730,1956,Former Chapter 59 Zone,,,999,B-2,Commercial Mixed Use,,WVRS,*,,,327,1996,,,NA.pdf,0c1f213f-d9c4-4238-934d-f07bf3fd36b0,,No,47225.15186,936.427492
14731,2010,Special  (O-1),SPECIAL O-1,O,999,O-1,O-1,,,,,,333,2010,,,NA.pdf,0c31da48-490f-436c-b98c-298b91e87ef1,,No,139913.292,1491.592949
14732,1956,Former Chapter 59 Zone,,,999,B-4,Commercial Mixed Use,"UO-1, UO-2",,,,,111,1964,PBG,,NA.pdf,0c552864-9fd1-4960-aae4-01a370f61fc0,,No,188667.4038,2128.296585
14733,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,621,,346,2008,,,PUD 621.pdf,0c72d9b0-b4d9-4584-a74b-46a51628f502,,No,79826.13184,1319.171716
14734,1956,Former Chapter 59 Zone,,,999,H-2,Commercial Mixed Use,,WVRS,*,,,490,2001,,,NA.pdf,0d92012c-b701-48f0-9e4f-4f104b085b32,,No,48312.47607,884.075307
14735,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-3A,Commercial Mixed Use,,,,,,1644,2025,,,,0da92de5-85bd-4f18-9d25-2ccd3deeb5ac,3,Yes,132612.9556,1616.378725
14736,2010,Two Unit  (TU),URBAN,U-TU,TU,U-TU-B,Residential,,,,,,333,2010,,,NA.pdf,0dcd0265-6497-445e-8631-f7b3e6525291,,Yes,79298.41357,1263.158932
14737,1956,Former Chapter 59 Zone,,,999,R-2,Residential,,,,,,714,2007,PBG,,NA.pdf,0ddccf5f-05f7-46e1-ab4e-bdeac4f77c70,,No,24952.19678,652.9777527
14739,2010,Two Unit  (TU),URBAN,U-TU,TU,U-TU-B2,Residential,DO-4,,,,,323,2015,,,NA.pdf,0dff98d4-0905-4df4-b29d-2de7051f5b33,,Yes,2668974.566,16397.79753
14741,1956,Former Chapter 59 Zone,,,999,B-A-1,Commercial Mixed Use,,,,,,225,1966,PBG,,NA.pdf,0e1042ff-c882-4401-81e6-712a15b1e746,,No,55053.74268,942.1520643
14742,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-IX,Residential,,,,,,333,2010,,,NA.pdf,0e4afe30-e784-4670-8032-4f6cc80e01d4,,No,1437080.453,5690.930533
14743,1956,Former Chapter 59 Zone,,,999,I-1,Industrial,UO-2,,,,,392,1956,PBG, ,NA.pdf,0e6996da-cf47-46e8-83e7-70fa5f02decb,,No,35566.6084,760.6311352
14744,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-DX,Residential,,,,,,333,2010,,,NA.pdf,0ebbb6bc-b953-4319-85a1-74e5e33575b9,,No,9723536.93,18227.10307
14745,1956,Former Chapter 59 Zone,,,999,C-MU-20,Commercial Mixed Use,,,,,,75,2007,PBG,,NA.pdf,0ebc8124-c3a0-4bed-bb56-a363a8e94bf4,,Yes,158839.3623,1602.150142
14746,1956,Former Chapter 59 Zone,,,999,R-2,Residential,,,,,,392,1956,PBG,,NA.pdf,0ece02f9-70e2-4f4f-9dd8-84b24d8da3a4,,No,47718.49512,984.3175869
14747,1956,Former Chapter 59 Zone,,,999,B-4,Commercial Mixed Use,"UO-1, UO-2",WVRS,*,,,546,1990,,,NA.pdf,0f703af9-b8c1-4554-9f48-0e04fb5e68df,,No,2015568.813,8747.629093
14748,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,454,1964,PBG,,NA.pdf,0f854730-1f95-4851-bd72-0d9a83fa4cfd,,No,1600071.631,7434.114548
14749,2010,Special  (O-1),SPECIAL O-1,O,999,O-1,O-1,,,,,,333,2010,,,NA.pdf,10166f8e-60b2-440b-8402-d4b3c90bd1c9,,No,5139.874512,328.9987559
14750,1956,Former Chapter 59 Zone,,,999,R-1,Residential,,,,,,392,1956,PBG,,NA.pdf,104eed43-73cf-4b1d-8fcb-0a5b87244e0f,,No,745753.2378,3916.988803
14751,1956,Former Chapter 59 Zone,,,999,R-4,Residential,,WVRS,,,,989,2002,,,NA.pdf,104f210f-05b3-4eb4-a43d-64506e4b99da,,No,15306.30566,523.4736998
14752,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,*,,,233,1985,,,NA.pdf,10dd9778-7ae4-4ee7-b1f3-2b0333ef38d5,,No,1530224.499,6975.130362
14753,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,392,1956,PBG,,NA.pdf,119c7833-d198-4bee-ad6b-428cbe674cd5,,No,227305.2339,2047.928848
14755,1956,Former Chapter 59 Zone,,,999,B-4,Commercial Mixed Use,"UO-1, UO-2",WVRS,*,,,41,1996,,,NA.pdf,12315d8f-b675-4a0d-994f-8b9fc59d08f8,,No,149704.8569,1849.463647
14756,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,12d26eec-7c66-4b35-b3e8-471e45039f89,,No,34159.84717,747.5336526
14757,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-D,Residential,,,,,,333,2010,,,NA.pdf,1303789a-79f0-46c3-969a-bdc178709e0c,,No,8170491.52,13603.18877
14758,1956,Former Chapter 59 Zone,,,999,R-MU-20,Residential,,WVRS,,,,700,2003,,,NA.pdf,131cdaba-ee19-4f0c-8b27-4dbc79924ffe,,Yes,215212.0459,1885.310191
14760,1956,Former Chapter 59 Zone,,O,999,O-1,O-1,,WVRS,,,,77,1986,,,NA.pdf,138634ef-c81b-4066-b732-2995546b673d,,No,2202111.73,8455.39596
14761,2010,Two Unit  (TU),URBAN EDGE,E-TU,TU,E-TU-C,Residential,,,,,,333,2010,,,NA.pdf,13a3de2b-12ec-4c80-bf52-9fc3f6b980c0,,Yes,2378849.125,11805.3097
14762,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-G,Residential,,,,,,333,2010,,,NA.pdf,13f8b460-3692-4ec8-adde-05232de2694a,,No,386406.3433,2722.480461
14763,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-F,Residential,,,,,,333,2010,,,NA.pdf,142f30e2-01a6-462d-a2dc-582677463d2a,,No,2798661.221,9104.192755
14764,2010,Single Unit  (SU),URBAN,U-SU,SU,U-SU-A,Residential,UO-3,,,,,1304,2024,,,NA.pdf,1432ed97-93e8-4478-b43f-fa0bab0c52ef,,Yes,310139.8643,3344.880538
14765,2010,Single Unit  (SU),URBAN,U-SU,SU,U-SU-A,Residential,UO-3,,,,,1304,2024,,,NA.pdf,1451c9de-3cf8-445a-9144-f41982bbbd09,,Yes,259971.6382,3141.841855
14766,1956,Former Chapter 59 Zone,,,999,B-2,Commercial Mixed Use,,WVRS,,,,676,1998,,,NA.pdf,148284e6-a2f2-4e09-b700-aaf0914484ad,,No,15571.95605,518.0794672
14767,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,14b5eabf-9d89-40d6-b799-70d93424bd54,,No,16624.5542,748.5832081
14768,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,351,,132,1994,,,PUD 351.pdf,1512464e-e265-4448-9e37-e41d1dfa1fc1,,No,24159.81104,628.4061232
14770,1956,Former Chapter 59 Zone,,,999,B-3,Commercial Mixed Use,,,,,,17,1958,PBG,,NA.pdf,15efaf92-2a00-4da3-8e3e-43bb423dd65d,,No,360074.6987,2745.968165
14771,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,WVRS,,,,379,1969,,,NA.pdf,15f2ee6f-da85-4faf-97ab-9d40acdef16e,,No,1144663.644,4380.198208
14774,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,94,,231,1983,,,PUD 94.pdf,168ac628-edb3-4b79-84f1-b7f4a629cce5,,No,119808.7466,1388.271183
14775,1956,Former Chapter 59 Zone,,,999,R-3,Residential,UO-3,,,,,392,1956,PBG,,NA.pdf,1694a320-ba47-4e31-9e5f-14be32554927,,No,559761.9907,3244.39141
14776,1956,Former Chapter 59 Zone,,,999,R-1,Residential,,,,,,486,1980,PBG,,NA.pdf,16d827bb-4c5d-4eda-ba92-62b6c88ae3eb,,No,1148020.904,4653.052516
14777,2010,"Campus  (EI, EI2, ENT, H, H2, NWC)",SPECIAL CAMPUS,CMP,999,CMP-H,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,171c2ac5-e91e-4c3b-94e1-14d72c643cfc,,No,201698.0078,2422.065723
14778,1956,Former Chapter 59 Zone,,,999,B-2,Commercial Mixed Use,,WVRS,,,,313,1997,,,NA.pdf,174979fd-75e7-442a-8ee8-282a0eb9711f,,No,4988.763672,295.399023
14779,1956,Former Chapter 59 Zone,,,999,R-MU-20,Residential,,WVRS,,,,239,2006,,,NA.pdf,178786d7-0416-4f54-98b0-f19fdab90c7d,,Yes,7317813.865,20427.95876
14780,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,1644,1980,,,NA.pdf,179c7384-27da-4d57-80ec-332a158ce1bc,3,Yes,1469203.502,6707.286892
14781,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,17ac8a0b-9e62-49d2-aa3b-826d7b626f2b,,No,20850.61426,580.8293487
14782,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-D,Residential,,,,,,333,2010,,,NA.pdf,17cc846d-2ab5-4c2d-9a49-148bb32497c8,,No,205077.978,1902.987541
14784,1956,Former Chapter 59 Zone,,,999,R-3,Residential,UO-3,,,,,325,1966,PBG,,NA.pdf,18bfae16-d42b-45df-9761-fede32b91a17,,No,234565.126,2107.55304
14785,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,18fb5d0f-a50b-400d-857c-14d8fcb7af4f,,No,617079.4487,4608.08666
14786,2010,Open Space - Recreation  (OS-B),SPECIAL OPEN SPACE,OS,999,OS-B,Open Space,,,,,,333,2010,,,NA.pdf,19081a00-aaa1-4e47-89b2-0149ef7ac210,,No,68299.22363,1084.879436
14787,1956,Former Chapter 59 Zone,,,999,B-2,Commercial Mixed Use,,WVRS,*,,,612,1987,,,NA.pdf,191655c9-de86-466b-bc7a-f7fcf47308b6,,No,131064.5181,1620.149235
14788,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-F,Residential,,,,,,333,2010,,,NA.pdf,19189371-53a5-478d-8f72-ea193dd3d093,,No,2120685.425,7666.855548
14789,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,155,,96,1985,,,PUD 155.pdf,193816e2-2880-45ab-a87f-1320645cc220,,No,97407.29443,1371.222688
14790,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,299,,729,1991,,,PUD 299.pdf,1a311681-4cb6-4c3f-b33c-aa27622cff15,,No,43372.39697,971.7044489
14791,1956,Former Chapter 59 Zone,,,999,MS-2,Commercial Mixed Use,,,,,,359,2007,PBG,,NA.pdf,1a7a8218-dfd5-4408-b6c5-f961510bbd32,,No,91024.70459,1240.439213
14793,2010,Single Unit  (SU),URBAN,U-SU,SU,U-SU-C,Residential,,,,,,333,2010,,,NA.pdf,1b51605b-8e06-44e0-8adb-94ac57fd0be8,,No,292817.229,2906.32373
14794,1956,Former Chapter 59 Zone,,,999,R-4-X,Residential,DO-1,WVRS,*,,,121,2000,,Design Review District,NA.pdf,1bbd3280-c0fa-462a-8a37-206c91559e89,,No,71230.54785,1193.878263
14795,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,,,,345,2008,,,NA.pdf,1bc8a5e6-e6f7-4b4f-9fa0-58c2c31074e9,,Yes,187851.9443,1891.094818
14796,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,490,,107,2000,,,PUD 490.pdf,1c651e5c-baaa-4761-bad7-077e5f4b756a,,No,8263.669922,435.9507896
14797,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,*,,,935,2004,,,NA.pdf,1ce9a666-be19-468d-a8eb-6a71e8e07b26,,Yes,98904.61914,1751.419047
14798,2010,Two Unit  (TU),URBAN,U-TU,TU,U-TU-B,Residential,,,,,,333,2010,,,NA.pdf,1d167001-1700-4659-a600-3127cb01ed66,,Yes,486552.3232,3025.188495
14799,2010,Downtown - Civic  (D-CV),DOWNTOWN,D-CV,999,D-CV,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,1d39b639-dde4-4c69-8ba3-96cb4b0a97fe,,No,1217756.895,6255.054594
14800,1956,Former Chapter 59 Zone,,,999,B-4,Commercial Mixed Use,"UO-1, UO-2",,*,,,2,1988,,,NA.pdf,1d62748d-1846-4989-873f-ab3f92c4d54e,,No,4100.451172,384.0287903
14801,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,1e585c73-0c1f-42d0-822d-0a544329aea4,,No,276451.9053,2719.376046
14802,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,1e8a10c1-ae70-4145-aabe-e7e8a06beb99,,No,22345.04785,601.048171
14803,1956,Former Chapter 59 Zone,,,999,H-2,Commercial Mixed Use,,,*,,,342,1992,,,NA.pdf,1eda26fa-c561-4628-9331-aa89de59d5e4,,No,102398.6089,1708.988541
14804,1956,Former Chapter 59 Zone,,,999,R-4,Residential,,,,,,195,1968,PBG,,NA.pdf,1eeddb2b-cda5-48b8-bc04-c9b79664c561,,No,79957.78906,1347.809378
14805,1956,Former Chapter 59 Zone,,,999,B-2,Commercial Mixed Use,,WVRS,,,,369,1968,,,NA.pdf,1ef07d60-803e-43ff-83ed-fe10e3cd865e,,No,14133.69824,502.0866574
14806,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,1efc474a-5fa7-4249-85da-beb5573afa0b,,No,78622.61035,1273.738399
14807,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,478,,246,1999,,,PUD 478.pdf,1f2a3a53-a9de-4b1d-9e71-e52ee4bd4b0a,,No,4710.580078,427.2683555
14808,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,170,,411,1985,,,PUD 170.pdf,1f599e81-96cb-4b07-b371-1d8eed46c37a,,No,20898.07422,636.8526197
14809,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,461,,598,1998,,,PUD 461.pdf,1f8cfe49-fd66-4e40-8d04-a0aaafede0d5,,No,126752.4722,1867.521942
14810,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,WVRS,,,,880,1973,,,NA.pdf,1fcebc03-022d-4a99-9e7e-e875abbe7055,,No,343950.5449,2704.704294
14811,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-D,Residential,,,,,,333,2010,,,NA.pdf,1fe3d657-d9b6-410a-b2a4-815d49b9d1bb,,No,64419.68262,1089.652157
14813,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,2042bbbd-b312-4478-b1d2-a0946ca46a1e,,No,3686574.457,10551.90353
14814,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,204f67a3-7446-4299-8057-99efd62b3aa2,,No,125083.3115,3167.478344
14815,2010,Open Space - Recreation  (OS-B),SPECIAL OPEN SPACE,OS,999,OS-B,Open Space,,,,,,333,2010,,,NA.pdf,209fb3fa-3477-438b-924c-aeca16e26844,,No,104497.4805,1657.551704
14816,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,20c2c30c-ef8c-4a06-90bc-f094f8f4b479,,No,361403.4502,3148.950141
14817,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,1644,2025,,,NA.pdf,21477637-3714-411c-a827-83a71a92a9d5,3,Yes,3808445.247,11747.94472
14818,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,21529c84-c5b2-4327-b504-0bbd9e9777ed,,No,1124775.841,4755.864808
14819,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,507,,63,2001,,,PUD 507.pdf,2177bcc9-66d2-43b6-8f47-afe6a8493ddb,,No,8568.810059,437.6453449
14820,1956,Former Chapter 59 Zone,,,999,R-2,Residential,,,,,,714,2007,PBG,,NA.pdf,217c5be8-6b0e-44b9-8a05-b8e3a7567ea8,,No,217520.9648,3409.277922
14821,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-3A,Commercial Mixed Use,,,,,,1644,2025,,,NA.pdf,2180923e-186b-46f4-a84b-a7f4378b9158,3,Yes,356579.5952,2554.322398
14822,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,407,,422,1996,,,PUD 407.pdf,2282dbab-5279-4edf-a3d2-5fc4c3b6cbcd,,No,40118.51709,812.5225729
